call_number,display_template,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,author,note,,,,,,Formats
PT19.R8 v10,record,,Rebound red cloth cover over boards. ,1836,Rosen: Ein Taschenbuch für 1836,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories. ,,"Hell, T. ","Rose, Ludmilla; Rein, L; Blumenhagen; Mielau, C.",Passini engraving featured.,,,,,,
PT19.R8 v11,record,,Pink paper over boards; gilt edges. ,1837,Rosen: Ein Taschenbuch für 1837,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories ; poetry. ,,"Hell, T. ","St. Nelly; Müller, E.; v. Gusek; Arnold, F. W.",,,,,,,
PT19.R8 v12,record,,Gray paper with green decorative design over boards; gilt edges. ,1838,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; essays ; stories.,,,"Hell; Gehe, E.; Isidor; Rein, L.; Heller, R.",,,,,,,
PT19.R8 v13,record,,White paper with blue decorative design over boards; gilt edges. ,1839,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas.,,,"v. Gusek; Heller, R.; Rein, L.",,,,,,,
PT19.R8 v14,record,,White paper with blue decorative design over boards; gilt edges. ,1840,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; essays.,,,"Heller, R; Müller, W.; Storch, L.",,,,,,,
PT19.R8 v15,record,,Partially rebound 1/4 green cloth with white paper with blue decorative design over boards. ,1841,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; historical stories. ,,,"Günther, F.; Heller; v. Gusek.",,,,,,,
PT19.R8 v16,record,,White paper with red and green decorative design over boards; gilt edges. ,1842,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories. ,,,"Günther; v. Heiden; Neumann, E.; Dingelstedt, F.; Voigt, F.",,,,,,,
PT19.R8 v17,record,,White paper with blue and brown decorative design over boards; gilt edges. ,1843,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories ; essays. ,,,Günther; Müller.,,,,,,,
PT19.R8 v18,record,,White paper with red and green decorative design over boards; gilt edges. ,1844,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas; romantic stories.,,,"Köhler; Isidor; George; Tasse, P.",Absent 1986 catalog.,,,,,,
PT19.R8 v19,record,,Partially rebound 1/4 blue cloth with blue paper over boards; gilt edges.,1845,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; essays ; stories. ,,,"Bachmann, W.; Isidor; Köhler, L.; Norder, M.",,,,,,,
PT19.R8 v20,record,,Pink embossed floral paper over boards; gilt edges. ,1847,Rosen und Vergissmeinnicht ,Leipzig, C. Berger's Buchhandlung,12.3874,51.3434,Stories ; historic novellas. ,,"Bourdin, Louis",Bourdin; v. Nottingham.,,,,,,,
PT19.F9 v1,record,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1816,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Novellas ; poetry ; essays.,,"Schütze, St. ","Schütze; De La Motte Fouque; Haug; Brachmann, Luise; Schreiber, Alois.",,,,,,,
PT19.F9 v2,record,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1818,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Drama ; poetry ; romance. ,,"Schütze, St. ","Schütze; Schreiber, A.; Haug; Brachmann, L.; Döring, H.",,,,,,,
PT19.F9 v3,record,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1819,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; essays ; tales. ,,"Schütze, St. ","Schütze; Chezy; Langbein; Willmar, W.; Brachmann, L.; Laun; Haug.",,,,,,,
PT19.F9 v4,record,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1820,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; essays ; stories. ,,"Schütze, St. ",Döring; Castelli; Schütze; Laun; Haug.,,,,,,,
PT19.F9 v5,record,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1821,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; novellas ; essays ; stories. ,,"Schütze, St. ",Helmina von Chezy; Laun; Lohmann; Schütze; Schilling; Brachmann.,,,,,,,
PT19.F9 v6,record,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1822,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; songs ; essays ; tales. ,,"Schütze, St. ",Laun; Sternheim; Rassman; Döring; v. Hohenhausen; Kannegiesser; Schütze.,,,,,,,
Pt19.G17 v1,record,Former owner's stamp: Offnersche Leihbibliothek,Blue paper over boards; yellow spine label. ,1817,Gaben der Milde: Erstes Bändchen,Berlin, F. W. Gubitz,,,Novellas ; essays.,,,"Helmina von Chezy; Horn, F.; Stein, K.; De La Motte Fouque; Jördens, G.","Der Sieg der Treue: Eine Novelle, nach dem Spanischen by Helmina von Chezy",,,,,,
Pt19.G17 v2,record,,Blue paper over boards; yellow spine label. ,1817,Gaben der Milde: Zweites Bändchen,Berlin, F. W. Gubitz,,,Novellas; tales; essays; poetry.,,,Goethe; Gubitz; Hensel; Brentano; Hoffmann; Hell.,Wonne des Gebens by Goethe; Erscheinungen by Hoffmann.,,,,,,
Pt19.G17 v3,record,Former owner's stamp: Offnersche Leihbibliothek,Blue paper over boards; yellow spine label. ,1818,Gaben der Milde: Drittes Bändchen,Berlin, F. W. Gubitz,,,Dialogue of Abelard & Heloise ; poetry ; parables ; essays ; tales. ,,,Gubitz; Günsberg; Pergold; Büschenthal; Haug; Velhar.,,,,,,,
